source_page,source_url,permission_status,intended_usage,hosting_plan
homepage,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/509a0849-3528-4cc7-a262-6937b2a4df8f/IMG_5636.jpeg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
homepage,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/227d8a88-377c-4bfe-ad80-969800129ce7/IMG_9797.jpg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
fall programs overview,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/95933549-62ba-461b-a6af-327f93917380/IMG_1780.jpg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
fall programs overview,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/280a8097-6a1d-478d-b98d-8be8399cda20/IMG_9287.jpg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
fall programs overview,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/61ddf4e9-9f95-49fe-840c-b71ec5ad8b77/IMG_3626.jpg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
fall programs overview,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/3c4b2445-10f9-412d-9f12-db2f241ab522/bella+and+charley.jpg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
fall programs overview,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/1654967677275-LC008BNCTALQGB839X4J/Rebecca+with+Girls.jpeg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
fall programs overview,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/d7fcfdd8-cdf7-45ed-9c89-798fac288223/IMG_1769.jpg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
fall programs overview,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/ad398566-f667-4223-8bcf-262c0a6d3661/IMG_4469.jpg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
fall programs overview,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/29f39634-d2e4-4e47-af7e-df4d460b0f65/_DSC9058.jpg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
fall programs overview,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/e24fef2d-985f-424f-a81a-00548c58060c/IMG_0468.jpg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
fall Base Camp,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/ef419cc4-de2f-4a90-b988-f5144d29feb7/IMG_0165.jpeg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
fall Base Camp,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/3b8bbe34-7a41-4a5e-95b6-2381442780c7/IMG_1715.jpeg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
team,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/1632843226106-IQ5754HO4IDXYPKY7BUA/Gwen.jpg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
team,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/1632844439711-GT7TIUAFEL9FTT6QCMYV/leah.jpg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
team,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/45b9265a-b0e2-4ba7-8fef-b0f8f93ca037/P1000301+%283%29.png,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
